Subway,,,,,,,
製表日期：,2025/12/13,,,,,,[VENUSTW_G18]
,交易日期：,2025/12/06,序 號：,0050,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030301,義大利牛肉丸堡6吋,1,0,129,AP 單品入帳,12:35:13
2,A030501,火腿堡6吋,1,0,105,AP 單品入帳,12:35:13
3,A020301,香烤雞肉堡6吋,1,0,125,AP 單品入帳,12:35:13
,合計,,3,0,359,,
,,,,,,,
,TOTAL,,,,359,現金付款,
,發票編號：,VM14254702 ～ VM14254702,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0051,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020502,鮮嫩雞柳堡12吋,1,0,225,AP 單品入帳,12:37:01
4,A091201,無糖紅茶冰,1,0,38,AP 單品入帳,12:37:01
5,A060601,嫩煎蛋一片,2,0,70,AP 單品入帳,12:37:01
,合計,,4,0,333,,
,,,,,,,
,TOTAL,,,,333,Line Pay付款,
,發票編號：,VM14254703 ～ VM14254703,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0052,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020602,嫩切雞肉堡12吋,1,0,198,AP 單品入帳,12:38:50
2,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,12:38:50
3,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,12:38:50
,合計,,3,0,268,,
,,,,,,,
,TOTAL,,,,268,信用卡付款,
,發票編號：,VM14254704 ～ VM14254704,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0053,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A172803,辣豆瓣嫩牛12吋,1,0,286,AP 單品入帳,12:39:53
2,A050301,百味俱樂部堡6吋,1,0,128,AP 單品入帳,12:39:53
3,A020501,鮮嫩雞柳堡6吋,1,0,125,AP 單品入帳,12:39:53
4,A050401,哈燒起司總匯堡6吋,1,0,125,AP 單品入帳,12:39:53
5,A0701,A套餐,1,0,48,AP 單品入帳,12:39:53
,合計,,5,0,712,,
,,,,,,,
,TOTAL,,,,712,現金付款,
,發票編號：,VM14254705 ～ VM14254705,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0054,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A040201,鮪魚堡6吋,1,125,0,AP 單品入帳,12:41:34
2,A060201,蛋沙拉1球,1,35,0,AP 單品入帳,12:41:34
3,A0706,F套餐,1,85,0,AP 單品入帳,12:41:34
,合計,,3,245,0,,
,,,,,,,
,TOTAL,,,,0,,
,發票編號：,00000000 ～ 00000000,交易種類 ：,◎一般入帳◎,,客戶編號：,2101130002員工餐0元
,交易日期：,2025/12/06,序 號：,0055,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A050301,百味俱樂部堡6吋,1,128,0,AP 單品入帳,12:43:28
2,A050401,哈燒起司總匯堡6吋,1,125,0,AP 單品入帳,12:43:28
3,A050406,哈燒起司總匯雙份肉料,1,55,0,AP 單品入帳,12:43:28
4,A060601,嫩煎蛋一片,1,35,0,AP 單品入帳,12:43:28
5,A060601,嫩煎蛋一片,1,35,0,AP 單品入帳,12:43:28
,合計,,5,378,0,,
,,,,,,,
,TOTAL,,,,0,,
,發票編號：,00000000 ～ 00000000,交易種類 ：,◎一般入帳◎,,客戶編號：,2101130002員工餐0元
,交易日期：,2025/12/06,序 號：,0056,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030201,燒烤牛肉堡6吋,1,0,139,AP 單品入帳,12:44:13
2,A0703,C套餐,1,0,55,AP 單品入帳,12:44:13
,合計,,2,0,194,,
,,,,,,,
,TOTAL,,,,194,現金付款,
,發票編號：,VM14254706 ～ VM14254706,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0057,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
2,A030104,厚切嫩牛烤餅12吋,1,0,288,AP 單品入帳,12:46:24
3,A030106,厚切嫩牛雙份肉料,1,0,55,AP 單品入帳,12:46:24
4,A030106,厚切嫩牛雙份肉料,1,0,55,AP 單品入帳,12:46:24
5,A0701,A套餐,1,0,43,AP 單品入帳,12:46:24
9,A172801,辣豆瓣嫩牛6吋,1,0,159,AP 單品入帳,12:46:24
10,A0706,F套餐,1,0,85,AP 單品入帳,12:46:24
,合計,,6,0,685,,
,,,,,,,
,TOTAL,,,,685,現金付款,
,發票編號：,VM14254707 ～ VM14254707,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0058,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020502,鮮嫩雞柳堡12吋,1,0,225,AP 單品入帳,12:51:25
2,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,12:51:25
3,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,12:51:25
5,A030201,燒烤牛肉堡6吋,1,0,139,AP 單品入帳,12:51:25
6,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,12:51:25
7,A0815,餅乾3片,1,0,60,AP 單品入帳,12:51:25
,合計,,6,0,529,,
,,,,,,,
,TOTAL,,,,529,信用卡付款,
,發票編號：,VM14254708 ～ VM14254708,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0059,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030103,厚切嫩牛烤餅6吋,1,0,159,AP 單品入帳,12:56:55
2,A040206,鮪魚雙份肉料,1,0,55,AP 單品入帳,12:56:55
3,A0701,A套餐,1,0,65,AP 單品入帳,12:56:55
,合計,,3,0,279,,
,,,,,,,
,TOTAL,,,,279,現金付款,
,發票編號：,VM14254709 ～ VM14254709,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0060,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,B203,嫩切雞肉,1,0,189,AP 單品入帳,13:00:03
,合計,,1,0,189,,
,,,,,,,
,TOTAL,,,,189,FoodPanda付款,
,發票編號：,VM14254710 ～ VM14254710,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0061,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030202,燒烤牛肉堡12吋,1,0,250,AP 單品入帳,13:00:20
2,A0706,F套餐,1,0,85,AP 單品入帳,13:00:20
,合計,,2,0,335,,
,,,,,,,
,TOTAL,,,,335,現金付款,
,發票編號：,VM14254711 ～ VM14254711,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0062,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030101,厚切嫩牛堡6吋,1,0,149,AP 單品入帳,13:04:27
2,A030201,燒烤牛肉堡6吋,1,0,139,AP 單品入帳,13:04:27
3,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,13:04:27
4,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,13:04:27
5,A0703,C套餐,1,0,60,AP 單品入帳,13:04:27
,合計,,5,0,418,,
,,,,,,,
,TOTAL,,,,418,Line Pay付款,
,發票編號：,VM14254712 ～ VM14254712,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0063,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020401,照燒雞肉堡6吋,1,0,128,AP 單品入帳,13:08:37
2,A0704,D套餐,1,0,78,AP 單品入帳,13:08:37
,合計,,2,0,206,,
,,,,,,,
,TOTAL,,,,206,現金付款,
,發票編號：,VM14254713 ～ VM14254713,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0064,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030303,義大利牛肉丸烤餅6吋,1,0,139,AP 單品入帳,13:18:06
2,A020506,鮮嫩雞柳雙份肉料,1,0,55,AP 單品入帳,13:18:06
3,A060601,嫩煎蛋一片,1,0,35,AP 單品入帳,13:18:06
4,A0703,C套餐,1,0,55,AP 單品入帳,13:18:06
,合計,,4,0,284,,
,,,,,,,
,TOTAL,,,,284,現金付款,
,發票編號：,VM14254714 ～ VM14254714,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0065,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030302,義大利牛肉丸堡12吋,1,0,232,AP 單品入帳,13:18:45
2,A020301,香烤雞肉堡6吋,1,0,125,AP 單品入帳,13:18:45
3,A0704,D套餐,1,0,78,AP 單品入帳,13:18:45
,合計,,3,0,435,,
,,,,,,,
,TOTAL,,,,435,Line Pay付款,
,發票編號：,VM14254715 ～ VM14254715,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0066,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020601,嫩切雞肉堡6吋,1,0,110,AP 單品入帳,13:21:44
2,A060401,酪梨泥一球,1,0,45,AP 單品入帳,13:21:44
3,A0701,A套餐,1,0,48,AP 單品入帳,13:21:44
,合計,,3,0,203,,
,,,,,,,
,TOTAL,,,,203,現金付款,
,發票編號：,VM14254716 ～ VM14254716,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0067,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030202,燒烤牛肉堡12吋,1,0,250,AP 單品入帳,13:26:10
2,A030102,厚切嫩牛堡12吋,1,0,268,AP 單品入帳,13:26:10
3,A060601,嫩煎蛋一片,4,0,140,AP 單品入帳,13:26:10
7,A060301,培根1條,4,0,92,AP 單品入帳,13:26:10
,合計,,10,0,750,,
,,,,,,,
,TOTAL,,,,750,信用卡付款,
,發票編號：,VM14254717 ～ VM14254717,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0068,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020302,香烤雞肉堡12吋,1,0,225,AP 單品入帳,13:33:26
,合計,,1,0,225,,
,,,,,,,
,TOTAL,,,,225,Line Pay付款,
,發票編號：,VM14254718 ～ VM14254718,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0069,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020502,鮮嫩雞柳堡12吋,1,0,225,AP 單品入帳,13:34:24
,合計,,1,0,225,,
,,,,,,,
,TOTAL,,,,225,現金付款,
,發票編號：,VM14254719 ～ VM14254719,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0070,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030401,墨西哥辣牛堡6吋,1,0,115,AP 單品入帳,13:35:44
,合計,,1,0,115,,
,,,,,,,
,TOTAL,,,,115,現金付款,
,發票編號：,VM14254720 ～ VM14254720,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0071,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030401,墨西哥辣牛堡6吋,1,0,115,AP 單品入帳,13:37:51
,合計,,1,0,115,,
,,,,,,,
,TOTAL,,,,115,Line Pay付款,
,發票編號：,VM14254721 ～ VM14254721,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0072,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030101,厚切嫩牛堡6吋,1,0,149,AP 單品入帳,13:38:22
,合計,,1,0,149,,
,,,,,,,
,TOTAL,,,,149,信用卡付款,
,發票編號：,VM14254722 ～ VM14254722,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0073,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030102,厚切嫩牛堡12吋,1,0,268,AP 單品入帳,13:39:49
,合計,,1,0,268,,
,,,,,,,
,TOTAL,,,,268,信用卡付款,
,發票編號：,VM14254723 ～ VM14254723,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0074,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A0815,餅乾3片,1,0,60,AP 單品入帳,13:43:22
6,A090102,杯裝飲料(22oz),1,0,38,AP 單品入帳,13:43:22
,合計,,2,0,98,,
,,,,,,,
,TOTAL,,,,98,現金付款,
,發票編號：,VM14254724 ～ VM14254724,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0075,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A0814,餅乾1片,1,0,25,AP 單品入帳,14:01:56
,合計,,1,0,25,,
,,,,,,,
,TOTAL,,,,25,Line Pay付款,
,發票編號：,VM14254725 ～ VM14254725,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0076,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020301,香烤雞肉堡6吋,1,0,125,AP 單品入帳,14:16:34
2,A0701,A套餐,1,0,48,AP 單品入帳,14:16:34
,合計,,2,0,173,,
,,,,,,,
,TOTAL,,,,173,現金付款,
,發票編號：,VM14254726 ～ VM14254726,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0077,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A050101,義大利經典堡6吋,1,0,135,AP 單品入帳,14:26:53
2,A0701,A套餐,1,0,48,AP 單品入帳,14:26:53
,合計,,2,0,183,,
,,,,,,,
,TOTAL,,,,183,信用卡付款,
,發票編號：,VM14254727 ～ VM14254727,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0078,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,U0211,6吋義大利牛肉丸潛艇堡 6-Inch Roast Beef Sub,1,0,210,AP 單品入帳,14:28:40
,合計,,1,0,210,,
,,,,,,,
,TOTAL,,,,210,UberEats付款,
,發票編號：,VM14254728 ～ VM14254728,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0079,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020302,香烤雞肉堡12吋,1,0,225,AP 單品入帳,14:34:56
,合計,,1,0,225,,
,,,,,,,
,TOTAL,,,,225,現金付款,
,發票編號：,VM14254730 ～ VM14254730,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0080,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A080201,嫩雞沙拉捲餅,1,0,102,AP 單品入帳,14:33:57
,合計,,1,0,102,,
,,,,,,,
,TOTAL,,,,102,現金付款,
,發票編號：,VM14254729 ～ VM14254729,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0081,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030102,厚切嫩牛堡12吋,1,0,268,AP 單品入帳,14:58:05
2,A060401,酪梨泥一球,1,0,45,AP 單品入帳,14:58:05
,合計,,2,0,313,,
,,,,,,,
,TOTAL,,,,313,現金付款,
,發票編號：,VM14254736 ～ VM14254736,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0082,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020301,香烤雞肉堡6吋,1,0,125,AP 單品入帳,14:47:11
2,A060401,酪梨泥一球,1,0,45,AP 單品入帳,14:47:11
3,A060601,嫩煎蛋一片,1,0,35,AP 單品入帳,14:47:11
4,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,14:47:11
5,A020401,照燒雞肉堡6吋,1,0,128,AP 單品入帳,14:47:11
6,A091102,美祿熱,1,0,50,AP 單品入帳,14:47:11
7,A091102,美祿熱,1,0,50,AP 單品入帳,14:47:11
,合計,,7,0,468,,
,,,,,,,
,TOTAL,,,,468,信用卡付款,
,發票編號：,VM14254731 ～ VM14254731,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0083,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020401,照燒雞肉堡6吋,1,0,128,AP 單品入帳,14:49:27
2,A020501,鮮嫩雞柳堡6吋,1,0,125,AP 單品入帳,14:49:27
3,A060401,酪梨泥一球,1,0,45,AP 單品入帳,14:49:27
4,A0701,A套餐,1,0,48,AP 單品入帳,14:49:27
,合計,,4,0,346,,
,,,,,,,
,TOTAL,,,,346,現金付款,
,發票編號：,VM14254732 ～ VM14254732,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0084,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A0814,餅乾1片,1,0,25,AP 單品入帳,14:52:18
,合計,,1,0,25,,
,,,,,,,
,TOTAL,,,,25,現金付款,
,發票編號：,VM14254733 ～ VM14254733,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0085,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,B205,墨西哥辣牛,1,0,225,AP 單品入帳,14:53:33
,合計,,1,0,225,,
,,,,,,,
,TOTAL,,,,225,FoodPanda付款,
,發票編號：,VM14254734 ～ VM14254734,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0086,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030401,墨西哥辣牛堡6吋,1,0,115,AP 單品入帳,14:54:50
2,A020401,照燒雞肉堡6吋,1,0,128,AP 單品入帳,14:54:50
3,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,14:54:50
4,A0704,D套餐,1,0,78,AP 單品入帳,14:54:50
8,A0704,D套餐,1,0,78,AP 單品入帳,14:54:50
,合計,,5,0,434,,
,,,,,,,
,TOTAL,,,,434,現金付款,
,發票編號：,VM14254735 ～ VM14254735,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0087,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A040205,鮪魚沙拉,1,0,163,AP 單品入帳,15:14:27
3,A020601,嫩切雞肉堡6吋,1,0,110,AP 單品入帳,15:14:27
,合計,,2,0,273,,
,,,,,,,
,TOTAL,,,,273,Line Pay付款,
,發票編號：,VM14254738 ～ VM14254738,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0089,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
2,A020401,照燒雞肉堡6吋,1,0,128,AP 單品入帳,15:07:40
3,A0703,C套餐,1,0,55,AP 單品入帳,15:07:40
,合計,,2,0,183,,
,,,,,,,
,TOTAL,,,,183,現金付款,
,發票編號：,VM14254737 ～ VM14254737,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0090,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,U0209,6吋香烤雞肉潛艇堡 6-Inch Roasted Chicken Breast Sub,1,0,236,AP 單品入帳,15:17:07
,合計,,1,0,236,,
,,,,,,,
,TOTAL,,,,236,UberEats付款,
,發票編號：,VM14254739 ～ VM14254739,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0091,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,U0208,6吋百味俱樂部潛艇堡 6-Inch Subway ClubTM Sub,1,0,239,AP 單品入帳,15:25:35
,合計,,1,0,239,,
,,,,,,,
,TOTAL,,,,239,UberEats付款,
,發票編號：,VM14254740 ～ VM14254740,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0092,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020601,嫩切雞肉堡6吋,1,0,110,AP 單品入帳,15:33:34
,合計,,1,0,110,,
,,,,,,,
,TOTAL,,,,110,現金付款,
,發票編號：,VM14254741 ～ VM14254741,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0093,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
2,A050701,鷹嘴豆泥餅堡6吋,1,0,125,AP 單品入帳,15:54:17
,合計,,1,0,125,,
,,,,,,,
,TOTAL,,,,125,信用卡付款,
,發票編號：,VM14254742 ～ VM14254742,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0094,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020601,嫩切雞肉堡6吋,1,0,110,AP 單品入帳,16:01:50
2,A060301,培根1條,1,0,23,AP 單品入帳,16:01:50
3,A060601,嫩煎蛋一片,1,0,35,AP 單品入帳,16:01:50
,合計,,3,0,168,,
,,,,,,,
,TOTAL,,,,168,Line Pay付款,
,發票編號：,VM14254743 ～ VM14254743,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0095,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030101,厚切嫩牛堡6吋,1,0,149,AP 單品入帳,16:05:12
2,A0701,A套餐,1,0,48,AP 單品入帳,16:05:12
,合計,,2,0,197,,
,,,,,,,
,TOTAL,,,,197,Line Pay付款,
,發票編號：,VM14254744 ～ VM14254744,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0096,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A050702,鷹嘴豆泥餅12吋,1,0,225,AP 單品入帳,16:19:10
2,A0815,餅乾3片,1,0,60,AP 單品入帳,16:19:10
,合計,,2,0,285,,
,,,,,,,
,TOTAL,,,,285,現金付款,
,發票編號：,VM14254745 ～ VM14254745,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0097,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A0701,A套餐,1,0,48,AP 單品入帳,16:39:21
5,A030301,義大利牛肉丸堡6吋,1,0,129,AP 單品入帳,16:39:21
,合計,,2,0,177,,
,,,,,,,
,TOTAL,,,,177,現金付款,
,發票編號：,VM14254746 ～ VM14254746,交易種類 ：,◎一般入帳◎,,客戶編號：,
